Organisation Chain,Auction ID,EMD Amount,Starting Price,Submission Start Date,Submission End Date,Auction Start Date,Product Category
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Bhandara District-DMA||Municipal Council Tumsar,2025_MH_29549,"25,000","6,47,820",20-May-2025 02:00 PM,27-May-2025 05:00 PM,29-May-2025 11:00 AM,Miscellaneous
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29362,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur,2025_WB_4688,600,"30,000",20-May-2025 11:00 AM,27-May-2025 05:00 PM,02-Jun-2025 11:00 AM,Miscellaneous
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29369,"10,00,000","10,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29366,"10,00,000","10,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29367,"10,00,000","10,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29365,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29371,"10,00,000","10,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29263,"10,00,000","10,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29261,"10,00,000","10,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29265,"10,00,000","7,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Ambala,2025_MoD_3949,"51,500","5,13,741",08-May-2025 06:00 PM,27-May-2025 05:00 PM,30-May-2025 10:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29364,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29287,"10,00,000","10,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29266,"10,00,000","7,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29363,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29286,"10,00,000","10,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29266,"10,00,000","7,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur,2025_WB_4688,600,"30,000",20-May-2025 11:00 AM,27-May-2025 05:00 PM,02-Jun-2025 11:00 AM,Miscellaneous
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29360,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29294,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29303,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29293,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29283,"10,00,000","10,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29287,"10,00,000","10,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Bhandara District-DMA||Municipal Council Tumsar,2025_MH_29548,"25,000","11,95,870",20-May-2025 02:00 PM,27-May-2025 05:00 PM,29-May-2025 11:00 AM,Miscellaneous
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29273,"10,00,000","7,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29275,"10,00,000","7,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29277,"10,00,000","7,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29274,"10,00,000","7,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29272,"10,00,000","7,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29360,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29294,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29303,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29293,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29372,"10,00,000","10,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29376,"10,00,000","10,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29283,"10,00,000","10,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29305,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29368,"10,00,000","10,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29267,"10,00,000","7,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29270,"10,00,000","7,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29271,"10,00,000","7,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29279,"10,00,000","7,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29360,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29294,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29303,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29293,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29369,"10,00,000","10,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29370,"10,00,000","10,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29371,"10,00,000","10,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29365,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29367,"10,00,000","10,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29287,"10,00,000","10,000",06-May-2025 11:00 AM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29361,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29359,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29362,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29369,"10,00,000","10,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29370,"10,00,000","10,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29371,"10,00,000","10,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-YAVATMAL||YAVATMAL-Work Department,2025_MH_29365,"10,00,000","7,000",08-May-2025 04:00 PM,27-May-2025 05:00 PM,30-May-2025 11:00 AM,Others
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Nagpur||Office of the DCF Gondia",2025_MH_29478,,,25-May-2025 09:00 AM,27-May-2025 05:30 PM,27-May-2025 05:30 PM,Bamboo
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Thane||Office of the DCF Roha",2025_MH_29573,,,26-May-2025 02:00 PM,28-May-2025 09:30 AM,28-May-2025 09:30 AM,Timber
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Nagpur||Office of the DCF Gondia",2025_MH_29479,,,26-May-2025 09:00 AM,28-May-2025 09:30 AM,28-May-2025 09:30 AM,Firewood
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Saharanpur,2025_UP_1529,"3,50,00,000","35,65,00,000",08-May-2025 01:00 PM,28-May-2025 12:00 PM,04-Jun-2025 12:00 PM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Ayodhya,2025_UP_1556,"20,000","4,50,000",22-May-2025 10:00 AM,28-May-2025 03:00 PM,30-May-2025 11:00 AM,Miscellaneous
Govt of Maharashtra||Transport Commissioner Office- Maharashtra State||RTO NAGPUR (URBAN),2025_MH_29562,"15,000",,21-May-2025 06:00 PM,28-May-2025 03:00 PM,04-Jun-2025 10:00 AM,Scrap/Disposables
Ministry of Defence||Directorate General Defence Estates||Central Command Lucknow||CEO Roorkee,2025_MoD_3972,"2,000","64,215",17-May-2025 01:00 PM,28-May-2025 03:00 PM,31-May-2025 01:00 PM,Scrap/Disposables
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Ayodhya,2025_UP_1557,"20,000","1,75,000",22-May-2025 10:00 AM,28-May-2025 03:00 PM,30-May-2025 11:00 AM,Miscellaneous
Govt of West Bengal||Nadia Zilla Parishad West Bengal||NAKASHIPARA PANCHAYAT SAMITY,2025_WB_4675,"76,000","7,60,000",16-May-2025 06:00 PM,28-May-2025 05:00 PM,03-Jun-2025 11:00 AM,Shipping/ Transportation/ Vehicle
Govt of Madhya Pradesh||Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited Jabalpur||CGM (S and P),2025_MPPVV_44,"2,00,000","55,000",16-May-2025 06:00 PM,28-May-2025 05:00 PM,02-Jun-2025 12:00 PM,Electrical and Electronics Scrap
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-Satara||Satara-Works DIV,2025_MH_29023,720,"72,000",22-Apr-2025 11:00 AM,28-May-2025 05:00 PM,05-Jun-2025 12:30 PM,Scrap/Disposables
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Prayagraj,2025_UP_1550,"2,05,382","20,53,824",19-May-2025 09:00 AM,28-May-2025 05:00 PM,30-May-2025 12:00 PM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Prayagraj,2025_UP_1549,"5,56,259","55,62,592",19-May-2025 09:00 AM,28-May-2025 05:00 PM,30-May-2025 12:00 PM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Prayagraj,2025_UP_1544,"1,79,786","17,97,856",19-May-2025 09:00 AM,28-May-2025 05:00 PM,30-May-2025 12:00 PM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Prayagraj,2025_UP_1546,"24,02,390","2,40,23,904",19-May-2025 09:00 AM,28-May-2025 05:00 PM,30-May-2025 12:00 PM,Others
Govt of West Bengal||Murshidabad Zilla Parishad-West Bengal,2025_WB_4698,"60,611","6,06,108",21-May-2025 05:00 PM,28-May-2025 05:00 PM,02-Jun-2025 05:00 PM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Ambala,2025_MoD_3950,"5,000","47,419",08-May-2025 06:00 PM,28-May-2025 05:00 PM,30-May-2025 10:00 AM,Others
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-Satara||Satara-Works DIV,2025_MH_29022,980,"98,000",22-Apr-2025 11:00 AM,28-May-2025 05:00 PM,05-Jun-2025 10:00 AM,Scrap/Disposables
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Banda,2025_UP_1534,"1,00,00,000","2,77,77,000",10-May-2025 04:00 PM,28-May-2025 05:00 PM,30-May-2025 12:00 PM,Mining
Govt of West Bengal||Nadia Zilla Parishad West Bengal||NAKASHIPARA PANCHAYAT SAMITY,2025_WB_4675,"76,000","7,60,000",16-May-2025 06:00 PM,28-May-2025 05:00 PM,03-Jun-2025 11:00 AM,Shipping/ Transportation/ Vehicle
Govt of Maharashtra||Rural Development Department (Maharashtra)||RDD-CEO-Satara||Satara-Works DIV,2025_MH_29022,980,"98,000",22-Apr-2025 11:00 AM,28-May-2025 05:00 PM,05-Jun-2025 10:00 AM,Scrap/Disposables
Govt of West Bengal||Murshidabad Zilla Parishad-West Bengal,2025_WB_4698,"60,611","6,06,108",21-May-2025 05:00 PM,28-May-2025 05:00 PM,02-Jun-2025 05:00 PM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Ambala,2025_MoD_3950,"5,000","47,419",08-May-2025 06:00 PM,28-May-2025 05:00 PM,30-May-2025 10:00 AM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Prayagraj,2025_UP_1542,"1,90,912","19,09,120",19-May-2025 09:00 AM,28-May-2025 05:00 PM,30-May-2025 12:00 PM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Prayagraj,2025_UP_1548,"10,610","1,06,096",19-May-2025 09:00 AM,28-May-2025 05:00 PM,30-May-2025 12:00 PM,Others
Govt of West Bengal||Zilla Parishad West Bengal||Purba Bardhaman||Galsi-I Panchayat Samity,2025_WB_4703,"6,88,325","68,83,250",21-May-2025 06:00 PM,28-May-2025 06:00 PM,04-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Southern Command Pune||DEO- Ahmedabad,2025_MoD_3980,"19,000","76,000",22-May-2025 06:10 PM,28-May-2025 06:00 PM,30-May-2025 11:00 AM,Miscellaneous
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||District Collector, Osmanabad",2025_MH_29572,"9,500","35,000",22-May-2025 11:00 AM,28-May-2025 06:55 PM,30-May-2025 11:00 AM,Miscellaneous
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Gadchiroli||Office of the DCF Allapalli",2025_MH_29511,,,26-May-2025 06:00 PM,29-May-2025 09:00 AM,29-May-2025 09:00 AM,Firewood
Govt of West Bengal||Zilla Parishad West Bengal||North 24 Parganas||Swarupnagar Panchayat Samity,2025_WB_4631,"78,340","1,95,850",02-May-2025 10:00 AM,29-May-2025 09:00 AM,26-Jun-2025 10:00 AM,Others
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Gadchiroli||Office of the DCF Allapalli",2025_MH_29510,,,26-May-2025 05:45 PM,29-May-2025 09:00 AM,29-May-2025 09:00 AM,Timber
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Thane||Office of the DCF Roha",2025_MH_29574,,,26-May-2025 02:00 PM,29-May-2025 09:30 AM,29-May-2025 09:30 AM,Firewood
Ministry of Defence||Directorate General Defence Estates||Eastern Command Kolkata||DEO- Guwahati,2025_MoD_3967,"15,000","98,500",16-May-2025 10:00 AM,29-May-2025 10:00 AM,02-Jun-2025 10:00 AM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Sonbhadra,2025_UP_1533,"1,00,00,000","14,94,68,896",09-May-2025 04:30 PM,29-May-2025 11:00 AM,30-May-2025 12:00 PM,Miscellaneous
Govt of Uttar Pradesh||U.P. Co-operative Sugar Factories Federation Ltd.,2025_UP_1560,"57,500","3,340",22-May-2025 06:00 PM,29-May-2025 01:55 PM,30-May-2025 10:00 AM,Miscellaneous
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Jalna District- DMA,2025_MH_29558,"50,000","3,45,500",21-May-2025 09:00 AM,29-May-2025 02:00 PM,30-May-2025 11:00 AM,Consultancy
Govt of Maharashtra||Law and Judiciary Department Mantralaya Maharashtra||Shri Vitthal Rukmini Temples Committee Pandharpur,2025_MH_28659,"50,000","1,50,000",03-Apr-2025 11:00 AM,29-May-2025 03:00 PM,31-May-2025 11:00 AM,Others
Govt of Maharashtra||Law and Judiciary Department Mantralaya Maharashtra||Shri Vitthal Rukmini Temples Committee Pandharpur,2025_MH_28658,"50,000","1,50,000",03-Apr-2025 11:00 AM,29-May-2025 03:00 PM,31-May-2025 11:00 AM,Others
Govt of Maharashtra||Law and Judiciary Department Mantralaya Maharashtra||Shri Vitthal Rukmini Temples Committee Pandharpur,2025_MH_28671,"50,000","1,50,000",03-Apr-2025 11:00 AM,29-May-2025 03:00 PM,31-May-2025 11:00 AM,Others
Govt of Maharashtra||Law and Judiciary Department Mantralaya Maharashtra||Shri Vitthal Rukmini Temples Committee Pandharpur,2025_MH_28692,"50,000","2,50,000",03-Apr-2025 01:00 PM,29-May-2025 03:00 PM,31-May-2025 11:00 AM,Others
Govt of Maharashtra||Law and Judiciary Department Mantralaya Maharashtra||Shri Vitthal Rukmini Temples Committee Pandharpur,2025_MH_28669,"50,000","1,50,000",03-Apr-2025 11:00 AM,29-May-2025 03:00 PM,31-May-2025 11:00 AM,Others
Govt of Maharashtra||Law and Judiciary Department Mantralaya Maharashtra||Shri Vitthal Rukmini Temples Committee Pandharpur,2025_MH_28670,"50,000","1,50,000",03-Apr-2025 11:00 AM,29-May-2025 03:00 PM,31-May-2025 11:00 AM,Others
